psu_number,dist_name,hh_number,s03_code,q03_03
4039.0,Morang,6.0,112.0,0.0
4039.0,Morang,11.0,112.0,0.0
4039.0,Morang,7.0,112.0,0.0
4039.0,Morang,9.0,112.0,0.0
4039.0,Morang,10.0,112.0,0.0
4039.0,Morang,1.0,112.0,0.0
4039.0,Morang,2.0,112.0,0.0
4039.0,Morang,8.0,112.0,0.0
4039.0,Morang,3.0,112.0,0.0
4039.0,Morang,5.0,112.0,0.0
4039.0,Morang,4.0,112.0,0.0
4039.0,Morang,12.0,112.0,0.0
4040.0,Morang,12.0,112.0,0.0
4040.0,Morang,2.0,112.0,0.0
4040.0,Morang,9.0,112.0,0.0
4040.0,Morang,11.0,112.0,0.0
4040.0,Morang,1.0,112.0,0.0
4040.0,Morang,5.0,112.0,1.0
4040.0,Morang,8.0,112.0,0.0
4040.0,Morang,6.0,112.0,0.0
4040.0,Morang,10.0,112.0,0.0
4040.0,Morang,4.0,112.0,0.0
4040.0,Morang,7.0,112.0,0.0
4040.0,Morang,3.0,112.0,1.0
4041.0,Morang,10.0,112.0,0.0
4041.0,Morang,1.0,112.0,0.0
4041.0,Morang,11.0,112.0,0.0
4041.0,Morang,9.0,112.0,0.0
4041.0,Morang,12.0,112.0,0.0
4041.0,Morang,3.0,112.0,0.0
4041.0,Morang,6.0,112.0,0.0
4041.0,Morang,2.0,112.0,0.0
4041.0,Morang,4.0,112.0,0.0
4041.0,Morang,7.0,112.0,0.0
4041.0,Morang,5.0,112.0,0.0
4041.0,Morang,8.0,112.0,0.0
4042.0,Morang,11.0,112.0,0.0
4042.0,Morang,6.0,112.0,0.0
4042.0,Morang,2.0,112.0,0.0
4042.0,Morang,7.0,112.0,0.0
4042.0,Morang,12.0,112.0,0.0
4042.0,Morang,8.0,112.0,0.0
4042.0,Morang,1.0,112.0,0.0
4042.0,Morang,9.0,112.0,0.0
4042.0,Morang,10.0,112.0,0.0
4042.0,Morang,3.0,112.0,0.0
4042.0,Morang,5.0,112.0,0.0
4042.0,Morang,4.0,112.0,0.0
4043.0,Morang,3.0,112.0,0.0
4043.0,Morang,2.0,112.0,0.0
4043.0,Morang,1.0,112.0,0.0
4043.0,Morang,5.0,112.0,0.0
4043.0,Morang,7.0,112.0,0.0
4043.0,Morang,4.0,112.0,0.0
4043.0,Morang,10.0,112.0,0.0
4043.0,Morang,12.0,112.0,0.0
4043.0,Morang,9.0,112.0,0.0
4043.0,Morang,8.0,112.0,0.0
4043.0,Morang,6.0,112.0,0.0
4043.0,Morang,11.0,112.0,0.0
4044.0,Morang,12.0,112.0,0.0
4044.0,Morang,3.0,112.0,0.0
4044.0,Morang,5.0,112.0,0.0
4044.0,Morang,2.0,112.0,0.0
4044.0,Morang,6.0,112.0,0.0
4044.0,Morang,11.0,112.0,0.0
4044.0,Morang,7.0,112.0,0.0
4044.0,Morang,8.0,112.0,0.0
4044.0,Morang,4.0,112.0,0.0
4044.0,Morang,1.0,112.0,0.0
4044.0,Morang,10.0,112.0,0.0
4044.0,Morang,9.0,112.0,0.0
4045.0,Morang,12.0,112.0,0.0
4045.0,Morang,3.0,112.0,0.0
4045.0,Morang,8.0,112.0,0.0
4045.0,Morang,11.0,112.0,0.0
4045.0,Morang,1.0,112.0,0.0
4045.0,Morang,2.0,112.0,0.0
4045.0,Morang,5.0,112.0,0.0
4045.0,Morang,6.0,112.0,0.0
4045.0,Morang,10.0,112.0,0.0
4045.0,Morang,4.0,112.0,0.0
4045.0,Morang,9.0,112.0,0.0
4045.0,Morang,7.0,112.0,0.0
4046.0,Sunsari,4.0,112.0,0.0
4046.0,Sunsari,11.0,112.0,0.0
4046.0,Sunsari,9.0,112.0,0.0
4046.0,Sunsari,8.0,112.0,0.0
4046.0,Sunsari,10.0,112.0,0.0
4046.0,Sunsari,3.0,112.0,0.0
4046.0,Sunsari,5.0,112.0,0.0
4046.0,Sunsari,12.0,112.0,0.0
4046.0,Sunsari,7.0,112.0,0.0
4046.0,Sunsari,6.0,112.0,0.0
4046.0,Sunsari,2.0,112.0,0.0
4046.0,Sunsari,1.0,112.0,0.0
4047.0,Sunsari,11.0,112.0,1.0
4047.0,Sunsari,7.0,112.0,0.0
4047.0,Sunsari,2.0,112.0,2.0
4047.0,Sunsari,12.0,112.0,0.0
4047.0,Sunsari,9.0,112.0,1.0
4047.0,Sunsari,5.0,112.0,0.0
4047.0,Sunsari,8.0,112.0,0.0
4047.0,Sunsari,10.0,112.0,0.0
4047.0,Sunsari,3.0,112.0,1.0
4047.0,Sunsari,4.0,112.0,0.0
4047.0,Sunsari,6.0,112.0,0.0
4047.0,Sunsari,1.0,112.0,1.0
4048.0,Sunsari,12.0,112.0,0.0
4048.0,Sunsari,2.0,112.0,0.0
4048.0,Sunsari,4.0,112.0,0.0
4048.0,Sunsari,3.0,112.0,0.0
4048.0,Sunsari,6.0,112.0,0.0
4048.0,Sunsari,7.0,112.0,0.0
4048.0,Sunsari,11.0,112.0,0.0
4048.0,Sunsari,8.0,112.0,0.0
4048.0,Sunsari,10.0,112.0,0.0
4048.0,Sunsari,1.0,112.0,0.0
4048.0,Sunsari,5.0,112.0,0.0
4048.0,Sunsari,9.0,112.0,0.0
4049.0,Sunsari,4.0,112.0,0.0
4049.0,Sunsari,11.0,112.0,0.0
4049.0,Sunsari,1.0,112.0,0.0
4049.0,Sunsari,6.0,112.0,0.0
4049.0,Sunsari,5.0,112.0,0.0
4049.0,Sunsari,3.0,112.0,0.0
4049.0,Sunsari,8.0,112.0,0.0
4049.0,Sunsari,7.0,112.0,0.0
4049.0,Sunsari,9.0,112.0,0.0
4049.0,Sunsari,12.0,112.0,0.0
4049.0,Sunsari,2.0,112.0,0.0
